Date : 2026-06-14 23:21:59
Directory : c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main
Total : 309 files,  199613 codes, 6594 comments, 16643 blanks, all 222850 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         12 |     78,392 |      5,627 |      8,677 |     92,696 |
| TypeScript         |         11 |     70,576 |        276 |        205 |     71,057 |
| Markdown           |        118 |     35,080 |          0 |      6,007 |     41,087 |
| JavaScript         |        144 |      9,673 |        657 |      1,588 |     11,918 |
| JSON               |          7 |      4,578 |          0 |          3 |      4,581 |
| PowerShell         |         14 |      1,074 |         34 |        141 |      1,249 |
| HTML               |          1 |        192 |          0 |         20 |        212 |
| JSON with Comments |          1 |         47 |          0 |          1 |         48 |
| PostCSS            |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                          |        309 |    199,613 |      6,594 |     16,643 |    222,850 |
| . (Files)                                                                                                                                                                                                                  |        154 |     92,118 |      6,178 |     10,158 |    108,454 |
| .qoder                                                                                                                                                                                                                     |        117 |     35,068 |          0 |      5,998 |     41,066 |
| .qoder\repowiki                                                                                                                                                                                                            |        117 |     35,068 |          0 |      5,998 |     41,066 |
| .qoder\repowiki\en                                                                                                                                                                                                         |        117 |     35,068 |          0 |      5,998 |     41,066 |
| .qoder\repowiki\en\content                                                                                                                                                                                                 |        116 |     35,067 |          0 |      5,998 |     41,065 |
| .qoder\repowiki\en\content (Files)                                                                                                                                                                                         |         10 |      3,328 |          0 |        578 |      3,906 |
| .qoder\repowiki\en\content\API Reference                                                                                                                                                                                   |          6 |      2,131 |          0 |        380 |      2,511 |
| .qoder\repowiki\en\content\Architecture Overview                                                                                                                                                                           |          5 |      1,737 |          0 |        266 |      2,003 |
